mueller,	43064:18572:1417:479
conductor,	44751:18592:1794:479
barbara	46856:18612:1403:399
kilduff,	34346:19112:1295:499
soprano,	35777:19252:1444:399
perform	37342:19152:1390:539
works	38854:19192:1025:439
beethoven	40514:19212:1781:439
strauss,	43145:19212:1376:539
woolsey	44643:19232:1417:559
sports	34333:21051:1336:639
'	42430:21051:53:639
men's	34319:30228:985:399 34333:21951:1025:399 34346:22611:998:399 34319:24750:1025:399
basketball	36087:22631:1808:419 35466:30248:1781:399 35507:21951:1794:419
vs.	42187:24950:458:299 38206:24870:445:339 37396:30368:458:299 46168:24950:472:339 42430:26289:458:299 43402:27609:445:319 36060:25530:472:299 46249:26309:458:299 36060:26869:458:299 38030:22771:458:299 38611:26229:458:319 37437:22091:458:299 39231:27589:458:299
cornell,	38003:30268:1322:459 38044:21991:1322:479
payne-whitney	39515:21991:2591:559 40041:22671:2604:539 35615:28089:2577:539 43078:26829:2604:559 40851:25490:2591:539
gym,	42781:22691:917:539 42241:22031:917:519
7:30	43307:22071:688:399 43645:24870:674:399 43820:26210:688:399
jv	35480:22631:472:399
choate,	38638:22671:1255:479
5	43847:22751:161:379 47018:35026:161:399
intramurals	34333:23850:2604:539
volleyball:	35507:24750:1835:519 35992:26110:1835:499
dc	37976:26110:526:419 37531:24770:512:419
br,	38827:24790:634:499 39204:26150:634:499
6:30	39609:24830:688:379 39974:26170:674:399
p.m.;	44616:26289:890:439 34319:25510:904:419 34319:26829:904:439 44454:24950:904:439 40433:24930:890:399 41526:27609:890:419 40743:26269:904:399
td	41796:26170:512:419 34265:36206:512:399 39029:36246:512:419 41526:24830:512:399
mc,	43024:26170:674:519 42821:24830:674:519
sy	45547:24850:485:439
pc,	46816:24850:593:539 39879:27469:593:519 46843:26190:593:539
bk	35385:26749:539:419 35399:25410:539:419
es,	36681:25410:566:539 36667:26749:566:519
9:30	37396:26809:661:379 44846:27549:688:399 37396:25470:674:399
room	39218:25470:985:419
h,	40338:25490:364:479
gym.	38354:28129:890:519 45817:26849:917:539 43577:25510:917:539
women's	34319:26090:1552:419
sy.	45655:26190:499:439
main	39204:26809:863:419
exercise	40203:26809:1498:439
room,	41850:26829:1079:519
men/women's	34319:27409:2456:439
squash:	36964:27469:1322:499
br	38516:27469:539:419
mc	42646:27489:566:439
dc,	44049:27509:607:539
4th	46762:27529:499:419
floor	47437:27529:796:439
courts,	34306:28089:1160:499
announcements	34306:29348:3373:519
live	39474:30268:742:419
7:20	40810:30328:661:359
on	42497:30428:377:279
wybc,	43024:30328:1214:459
640	44387:30368:512:359
am.	45048:30348:674:379
auditions	34279:35546:1592:419 34306:30888:1592:399
theater	42983:30988:1322:399
shows:	44589:31008:1174:399
three	47207:31008:998:419
sisters,"	34292:31527:1484:519
dir.	43712:31607:580:439 35965:31547:553:439
bart	36721:31567:769:419
delorenzo;	37666:31587:1956:519
fitting	40878:31607:1160:519
room,"	42227:31627:1309:499
maria	44481:31647:1039:419
burton,	45723:31667:1255:499
fence	47167:31687:1025:419
club	34292:32207:769:419
1	35669:32247:121:379 44009:35006:134:359
hillhouse	35965:32227:1565:419 44292:34966:1578:439
ave.,	37706:32247:863:499 46006:35006:863:479
sign-up	38746:32247:1241:539 36370:36206:1228:559
green	42808:32287:1012:419
room.	43982:32307:1093:419
last	45277:32327:958:419
day	46398:32347:823:399
auditions.	34292:32887:2226:419
submissions	34292:33567:2078:399
trumbull	44967:33647:1592:439 37706:33607:1592:399
review	39420:33607:1255:399
are	40797:33707:539:319
now	41445:33727:661:299
being	42227:33607:904:539
accepted,	43253:33627:1592:539
master's	46695:33667:1471:439
office,	34279:34206:1106:519
until	35534:34206:755:439
2/28.	36438:34206:755:459
deadline	34292:34886:1498:399
junior	36519:34906:1093:419
abroad	38719:34926:1241:399
applications,	40095:34946:2159:499
200	42389:34986:512:379
ucs,	43037:34946:823:519
'easter,'	36613:35566:1457:479
play	38503:35566:728:539
august	39866:35586:1201:519
strindberg,	41175:35586:1916:559
saturday	43213:35606:1538:559
sunday,	45251:35626:1336:559
1-4	46749:35686:431:399
buttery,	34913:36186:1336:559
outside	37706:36206:1214:459
hall	40837:36246:634:439
or	44387:36406:364:319 41593:36386:337:299
contact	42052:36306:1241:399
dave	43415:36286:877:419
nathaniel	44873:36306:1659:439
6-6405.	47086:36366:1052:399
saturday	16937:38545:4939:1659
events	16964:41124:1471:479
perspectives	16964:41983:2186:499
on	19379:42103:377:279
worker	20000:41983:1255:399
ownership,	21471:42003:1916:499
a	23630:42083:188:319 19892:49960:256:379
conference	24035:41963:1862:439
at	25749:42643:337:399 26127:41983:323:399 29663:45982:323:419
som,	26667:41963:917:519
