squad,	27438:17000:1631:354
dressed	31549:17030:1809:280
practice	35035:17015:1966:354 32220:27585:1966:340
gym.	27371:17474:1295:354
6	29918:17533:223:251
:45.	30320:17533:782:251
basketball—managerial	27997:17961:6055:354
candidates	34521:17976:2591:295
minor	28108:18449:1541:280
a.	29851:18449:558:280 30655:18449:558:295
office	37627:23742:1362:280 31460:18464:1340:280
4.	35214:25708:357:251 33739:18508:379:236 38677:20903:379:251
gun	29471:19883:1027:295 27952:18922:1027:280
club—following	29404:18937:4312:340
2:45,	31862:19455:1228:310
shoot	34633:19425:1295:280
winchester	37783:19425:983:280 27371:19883:1742:280
club:	30879:19883:1474:369
collins,	32689:19898:1854:354
drysdale,	34901:19898:2413:354
newhall,	27371:20371:1027:340 37694:19898:1050:295
plum,	28779:20371:1452:354
raymond,	30633:20386:2502:340
taylor,	33538:20386:1854:340
wilkinson.	35750:20386:2748:280
lacrosse—practice	27930:20844:4870:310
on	31147:21435:536:192 33046:20977:603:177 28287:28620:558:192
sheff.	33962:20859:1430:295
campus	35728:20859:1966:354
polo—men	27930:21317:2815:310
intermediate,	27326:21805:2748:340 38319:21362:491:266
squads,	34499:21820:1876:354
3	27326:22322:223:236
to	31326:22352:469:236 35929:28118:469:236 29538:30025:446:236 27930:22337:446:236
take	32912:22781:1027:280 28756:22293:1027:295
bus	30142:22293:804:295
armory.	32175:22308:2122:340
soccer—all	27907:22766:3038:280
men	31415:22869:1005:192
belt	34432:22781:1027:295
line	35906:22781:1117:295
busses	37470:22781:1541:295
immediately	27326:23239:3016:354
after	30745:23269:1206:266
class.	33672:23269:1295:280
record	27862:23727:1787:280
—meeting	29650:23742:2658:340
all	31907:28058:759:280 33650:23756:580:266
heelers	34655:23742:1720:280
to-night	27170:28044:1988:340 27259:24200:1988:354
7:10.	30521:24244:1184:251
playcraftsmen:	27862:24688:3910:340
rehearsal	32220:24703:2480:280
daniel	36241:24703:1698:280
today	27237:25161:871:340 38252:24747:491:236
2:30	29270:25205:1072:251
illusion	31817:25176:1854:280
7.	34856:25235:357:236
band—meet	27818:25649:3128:280
bring	36040:25664:1452:354
tuxedos.	27237:26122:1184:295 37895:25723:804:236
banjo	27773:26610:1497:340
clvb	29605:26610:1139:295
