in	25830:46691:400:282 22112:33986:512:282 19328:39142:423:282 15877:38652:445:282 20108:36794:445:282 20753:46201:423:267 15988:47583:423:282 22980:44804:400:282 15142:37716:512:282 19640:44329:423:267
the	15943:49010:757:267 19551:35397:734:282 21577:46216:757:282 16678:47598:757:282 19684:34922:734:297 21755:35873:757:282 25519:40123:779:282 23515:47628:757:282 18705:48549:734:282 21221:34461:734:282 18460:43853:734:282 20442:38206:734:297 15075:49470:979:282 15743:39127:757:282 19306:41029:979:282 23737:44819:757:282 25519:39662:779:312 25519:40599:757:282 20063:39157:734:282 22980:34000:757:282 22423:38681:979:312 16611:38667:757:282
i.	24116:34000:334:282
c.	24851:34000:467:297
a.	15476:34431:534:282 14541:34431:556:282 16411:34431:556:282 25697:34000:534:282
last	17346:34431:868:297
saturday	18593:34446:2271:356
elis	22334:34461:957:282
were	23648:34565:1202:193
only	25185:34476:1068:341
1	14563:34907:178:267
y	15120:34907:356:326
2	15476:34907:222:341
points	15921:34907:1469:341
behind	17725:34907:1625:297
red	20731:34922:979:297
and	18282:45740:868:267 25407:36839:868:282 22023:34937:868:297 14563:42887:868:282 15988:44314:868:267 19840:40093:868:282 25341:49976:868:282
white	23203:34937:1558:297
team	25073:34981:1180:252 19684:46721:1180:237 19863:47197:1180:222
which	21332:47137:1491:297 14541:35368:1469:282
carried	16367:35382:1759:282
off	18504:35397:668:267
major	20642:35397:1514:341
honors.	22513:35397:1825:297
each	25007:35412:1269:297
university	14541:35828:2494:356
has	17346:35843:801:297
won	18460:35962:1024:178 20687:43021:979:163
(wo	19774:35843:912:297
of	25808:37775:489:282 25808:43883:489:297 15832:40539:467:267 17480:43853:489:267 24583:40584:489:282 20998:35873:489:267
four	18727:45250:1024:282 22802:35873:1068:282
previous	24138:35888:2115:341
matches	14541:36304:2004:297
by	17658:45235:556:341 16990:36304:601:356
slender	18037:36319:1781:297
margins.	20263:36334:2160:341
both	14563:45711:1046:267 23203:36348:1202:282
teams	22045:45324:1425:237 24851:36393:1402:252
are"	14541:36854:846:208
reported	15743:36794:2115:326
to	17413:38251:467:222 18259:36839:467:237 17948:37775:467:237
be	25741:38251:556:267 19128:36794:534:297 15966:39588:534:297
good	20932:36809:1224:341 14518:47598:1202:341
condition,	22557:36824:2427:341
sporis	14563:37195:1469:401
critics	16411:37255:1536:282
predict	18326:37270:1714:341
a	19306:47226:267:193 22847:48653:267:193 20998:37849:244:178 20397:37359:267:193 14541:47211:244:178 20152:42055:267:193 15342:46736:244:193
close	21043:37285:1202:282
